ID,Title,Content,Excerpt,Date,"Post Type",Permalink
7,"Paye ta guitare","<h3>Tracklist</h3>
<ol>
    <li><span><strong><a rel=""tag"" href=""/tag/acapulco-44/"">Acapulco 44</a></strong> - Pictures (<a rel=""tag"" href=""/tag/rafale/"">Rafale</a> remix)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/bag-raiders/"">Bag Raiders</a></strong> - Shooting Stars</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/chemical-brothers/"">Chemical Brothers</a></strong> - Star Guitar</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/deep-dish/"">Deep Dish</a></strong> - Say Hello</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/dari/"">Dari</a></strong> - Tutto Regolare</span></li>
</ol>",,"2009-02-17 14:41:19",post,http://www.micromix.fr/paye-ta-guitare/
17,"Chose ronde où la femme s'assoit","<h3>Tracklist</h3>
<ol>
    <li><span><strong><a rel=""tag"" href=""/tag/tag-team/"">Tag Team</a></strong> - Whoomp! There it is</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/armand-van-helden/"">Armand Van Helden</a></strong> - You Don't Know Me (<a rel=""tag"" href=""/tag/grum/"">GRUM</a> remix)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/fannypack/"">FannyPack</a></strong> - Smack it up</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/aaron-lacrate/"">Aaron Lacrate</a> vs <a rel=""tag"" href=""/tag/young-mc/"">Young MC</a></strong> - Know How Theme</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/herve/"">Herve</a> &amp; <a rel=""tag"" href=""/tag/a-trak/"">A-trak</a> feat <a rel=""tag"" href=""/tag/cadence-weapon/"">Cadence Weapon</a></strong> - Roll With The Winners</span></li>
</ol>",,"2009-02-15 23:20:24",post,http://www.micromix.fr/chose-ronde-ou-la-femme-sassoit/
18,"Ghetto 2008","<h3>Tracklist</h3>
<ol>
    <li><span><strong><a rel=""tag"" href=""/tag/ideal-j/"">Ideal J</a></strong> - Le Ghetto Français</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/donna-summer/"">Donna Summer</a></strong> - Sweet Romance (<a rel=""tag"" href=""/tag/zebo/"">Zebo</a> rmx)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/alan-braxe/"">Alan Braxe</a></strong> - Addicted</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/feadz/"">Feadz</a></strong> - Numanoids</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/oxmo-puccino/"">Oxmo Puccino</a></strong> - Parrallèle</span></li>
</ol>",,"2009-02-14 23:48:46",post,http://www.micromix.fr/ghetto-2008/
59,B.Girl,"<h3>Tracklist</h3>
<ol>
	<li><span><strong><a rel=""tag"" href=""/tag/break-machine/"">Break machine</a></strong> - Streetdance </span></li>
	<li><span><strong><a rel=""tag"" href=""/tag/mia/"">M.I.A</a></strong> - Paper Planes</span></li>
	<li><span><strong><a rel=""tag"" href=""/tag/wax-taylor/"">Wax Taylor</a></strong> - The Games You Play</span></li>
	<li><span><strong><a rel=""tag"" href=""/tag/missy-elliott/"">Missy Elliott</a> feat <a rel=""tag"" href=""/tag/grand-puba/"">Grand Puba</a> and <a rel=""tag"" href=""/tag/mary-j-blige/"">Mary J. Blige</a></strong> - My Struggles </span></li>
	<li><span><strong><a rel=""tag"" href=""/tag/rock-steady-crew/"">Rock Steady Crew</a></strong> - Hey You !</span></li>
</ol>",,"2009-02-24 19:30:14",post,http://www.micromix.fr/bgirl/
80,"Bagoo & Choco","<h3>Tracklist</h3>
<ol>
    <li><span><strong><a rel=""tag"" href=""/tag/baby-d/"">Baby D</a></strong> - Let Me Be Your Fantasy</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/h2o/"">H2O</a> feat <a rel=""tag"" href=""/tag/platnum/"">Platnum</a></strong> - What's It Gonna Be (<a rel=""tag"" href=""/tag/agent-x/"">Agent X</a> Re-Rub Edit)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/jay-z/"">Jay Z</a></strong> - Big pimpim</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/electrocypher/"">Electrocypher</a></strong> - Marseille Is In The House</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/bone-thugs-n-harmony/"">Bone Thugs-N-Harmony</a></strong> - Tha Crossroads</span></li>
</ol>",,"2009-03-16 01:06:05",post,http://www.micromix.fr/bagoochoco/
86,"Drive until the sun comes up","<h3>Tracklist</h3>
<ol>
    <li><span><strong><a rel=""tag"" href=""/tag/paul/"">Paul</a></strong> - B2luv</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/freshlovers/"">Freshlovers</a></strong> - Beverly Hills Chase (<a rel=""tag"" href=""/tag/edwin-van-cleef/"">Edwin Van Cleef</a> remix)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/anoraak/"">Anoraak</a></strong> - Nightdrive With You (<a rel=""tag"" href=""/tag/fear-of-tigers/"">Fear of Tigers</a> remix)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/alan-braxe/"">Alan Braxe</a> and <a rel=""tag"" href=""/tag/fred-falke/"">Fred Falke</a></strong> - Chrystal City</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/kruse/"">Kruse</a> &amp; <a rel=""tag"" href=""/tag/nurnberg/"">Nurnberg</a> Ft. <a rel=""tag"" href=""/tag/t-nile/"">T.Nile</a></strong> - Sunrises (<a rel=""tag"" href=""/tag/lifelike/"">Lifelike</a> Remix) </span></li>
</ol>",,"2009-05-08 14:15:40",post,http://www.micromix.fr/drive-until-the-sun-comes-up/
94,"Un pied devant l'autre","<h3>Tracklist</h3>
<ol>
    <li><span><strong><a rel=""tag"" href=""/tag/college/"">College</a></strong> - Can you kiss me first (<a rel=""tag"" href=""/tag/1928/"">1928</a> remix)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/ercola/"">Ercola</a> feat. <a rel=""tag"" href=""/tag/annie/"">Annie</a></strong> - Follow Me (<a rel=""tag"" href=""/tag/lifelike/"">Lifelike</a> remix)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/demon/"">Demon</a></strong> - Happy Therapy (<a rel=""tag"" href=""/tag/lifelike/"">Lifelike</a> Remix)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/infadels/"">Infadels</a></strong> - Love Like Semtex (<a rel=""tag"" href=""/tag/fear-of-tigers/"">Fear of Tigers</a> remix)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/college/"">College</a></strong> - She Never Came Back (<a rel=""tag"" href=""/tag/russ-chimes/"">Russ Chimes</a> remix)</span></li>
</ol>",,"2009-07-01 17:06:28",post,http://www.micromix.fr/un-pied-devant-lautre/
100,"Summer Love 2009","<h3>Tracklist</h3>
<ol>
    <li><span><strong><a rel=""tag"" href=""/tag/sonikz/"">Sonikz</a> feat <a rel=""tag"" href=""/tag/mr-miller/"">Mr Miller</a></strong> - Fly So High</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/attacca-pesante/"">Attacca Pesante</a> ft <a rel=""tag"" href=""/tag/shea-soul/"">Shea Soul</a></strong> - Make It Funky For Me</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/uffie/"">Uffie</a></strong> - First Love</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/lykke-li/"">Lykke Li</a></strong> - Little Bit (<a rel=""tag"" href=""/tag/autoerotique/"">AutoErotique</a> Bootleg Remix)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/nicholas/"">Nicholas</a></strong> - Rollergirl</span></li>
</ol>",,"2009-08-10 12:26:50",post,http://www.micromix.fr/summer-love-2009/
105,"Regarde là-bas si j'y suis","<h3>Tracklist</h3>
<ol>
    <li><span><strong><a rel=""tag"" href=""/tag/frank-sinatra/"">Frank Sinatra</a></strong> - Fly Me To The Moon</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/gramophonedzie/"">Gramophonedzie</a></strong> - Why Don't You</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/joey-negro/"">Joey Negro</a> and <a rel=""tag"" href=""/tag/sunburst-band/"">Sunburst Band</a></strong> - Journey To The Sun (<a rel=""tag"" href=""/tag/dennis-ferrer/"">Dennis Ferrer</a> Mix)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/ida-engberg/"">Ida Engberg</a></strong> - Disco Volante (<a rel=""tag"" href=""/tag/sebastien-leger/"">Sébastien Léger</a> remix) </span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/danny-freakazoid/"">Danny Freakazoid</a></strong> - Recordable (<a rel=""tag"" href=""/tag/john-dahlback/"">John Dahlback</a> Remix)</span></li>
</ol>",,"2009-08-31 14:23:12",post,http://www.micromix.fr/regarde-la-bas-si-jy-suis/
117,F-Zero,"<h3>Tracklist</h3>
<ol>
    <li><span><strong><a rel=""tag"" href=""/tag/phonat/"">Phonat</a></strong> - Set Me Free</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/black-kids/"">Black Kids</a></strong> - I'm Not Gonna Teach Your Boyfriend How To Dance With You (<a rel=""tag"" href=""/tag/the-twelves/"">The Twelves</a> Remix)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/acid-girls/"">Acid Girls</a> feat. <a rel=""tag"" href=""/tag/frankmusik/"">Frankmusik</a></strong> - Wake Up</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/santiago/"">Santiago</a> &amp; <a rel=""tag"" href=""/tag/bushido/"">Bushido</a> ft <a rel=""tag"" href=""/tag/colette/"">Colette</a></strong> - 'Make Me Feel' (Original Mix)</span></li>
    <li><span><strong><a rel=""tag"" href=""/tag/puzique/"">Puzique</a></strong> - Don't Go (Original Mix)</span></li>
</ol>",,"2009-09-13 12:33:28",post,http://www.micromix.fr/f-zero/
